row_type,source_row,group_slug,match_value,utm_term,h1_source,h2_source,meta_title,meta_description,og_title,og_description
keyword,13,warszawa,tworzenie stron internetowych warszawa,&utm_term=tworzenie%20stron%20internetowych%20warszawa,"Tworzenie porządnych stron<br class=""br-desktop"">dla firm – <strong>nr 1 w Warszawie.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Warszawie</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop"">Pokaż klientom firmę, z której jesteś dumny. <strong>Klikalny prototyp już w 14 dni.</strong>",Tworzenie stron internetowych Warszawa | OWOCNI,"Tworzenie stron internetowych Warszawa dla wymagających firm. 3500+ realizacji, prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Tworzenie stron internetowych Warszawa | OWOCNI,"Tworzenie stron internetowych Warszawa dla wymagających firm. 3500+ realizacji, prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
keyword,14,warszawa,projektowanie stron internetowych warszawa,&utm_term=projektowanie%20stron%20internetowych%20warszawa,"Projektowanie porządnych stron<br class=""br-desktop"">dla firm – <strong>nr 1 w Warszawie.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Warszawie</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop"">Pokaż klientom firmę, z której jesteś dumny. <strong>Klikalny prototyp już w 14 dni.</strong>",Projektowanie stron internetowych Warszawa | OWOCNI,"Projektowanie stron internetowych Warszawa dla firm, które chcą rosnąć. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Projektowanie stron internetowych Warszawa | OWOCNI,"Projektowanie stron internetowych Warszawa dla firm, które chcą rosnąć. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
group_default,15,krakow,,&utm_term=strony%20internetowe%20krakow,"Porządne strony dla firm<br class=""br-desktop"">– <strong>nr 1 w Krakowie.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Krakowie</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Strony internetowe Kraków dla firm | OWOCNI,"Strony internetowe Kraków dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Strony internetowe Kraków dla firm | OWOCNI,"Strony internetowe Kraków dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
keyword,15,krakow,strony internetowe kraków,&utm_term=strony%20internetowe%20krakow,"Porządne strony dla firm<br class=""br-desktop"">– <strong>nr 1 w Krakowie.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Krakowie</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Strony internetowe Kraków dla firm | OWOCNI,"Strony internetowe Kraków dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Strony internetowe Kraków dla firm | OWOCNI,"Strony internetowe Kraków dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
keyword,16,krakow,tworzenie stron internetowych kraków,&utm_term=tworzenie%20stron%20internetowych%20krakow,"Tworzenie porządnych stron<br class=""br-desktop"">dla firm – <strong>nr 1 w Krakowie.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Krakowie</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Tworzenie stron internetowych Kraków | OWOCNI,"Tworzenie stron internetowych Kraków dla wymagających firm. 3500+ realizacji, prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Tworzenie stron internetowych Kraków | OWOCNI,"Tworzenie stron internetowych Kraków dla wymagających firm. 3500+ realizacji, prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
keyword,17,krakow,projektowanie stron internetowych kraków,&utm_term=projektowanie%20stron%20internetowych%20krakow,"Projektowanie porządnych stron<br class=""br-desktop"">dla firm – <strong>nr 1 w Krakowie.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Krakowie</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Projektowanie stron internetowych Kraków | OWOCNI,"Projektowanie stron internetowych Kraków dla firm, które chcą rosnąć. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Projektowanie stron internetowych Kraków | OWOCNI,"Projektowanie stron internetowych Kraków dla firm, które chcą rosnąć. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
group_default,18,wroclaw,,&utm_term=strony%20internetowe%20wroclaw,"Porządne strony dla firm<br class=""br-desktop"">– <strong>nr 1 we Wrocławiu.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna we Wrocławiu</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Strony internetowe Wrocław dla firm | OWOCNI,"Strony internetowe Wrocław dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Strony internetowe Wrocław dla firm | OWOCNI,"Strony internetowe Wrocław dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
keyword,18,wroclaw,strony internetowe wrocław,&utm_term=strony%20internetowe%20wroclaw,"Porządne strony dla firm<br class=""br-desktop"">– <strong>nr 1 we Wrocławiu.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna we Wrocławiu</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Strony internetowe Wrocław dla firm | OWOCNI,"Strony internetowe Wrocław dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Strony internetowe Wrocław dla firm | OWOCNI,"Strony internetowe Wrocław dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
keyword,19,wroclaw,tworzenie stron internetowych wrocław,&utm_term=tworzenie%20stron%20internetowych%20wroclaw,"Tworzenie porządnych stron<br class=""br-desktop"">dla firm – <strong>nr 1 we Wrocławiu.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna we Wrocławiu</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Tworzenie stron internetowych Wrocław | OWOCNI,"Tworzenie stron internetowych Wrocław dla wymagających firm. 3500+ realizacji, prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Tworzenie stron internetowych Wrocław | OWOCNI,"Tworzenie stron internetowych Wrocław dla wymagających firm. 3500+ realizacji, prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
keyword,20,wroclaw,projektowanie stron internetowych wrocław,&utm_term=projektowanie%20stron%20internetowych%20wroclaw,"Projektowanie porządnych stron<br class=""br-desktop"">dla firm – <strong>nr 1 we Wrocławiu.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna we Wrocławiu</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Projektowanie stron internetowych Wrocław | OWOCNI,"Projektowanie stron internetowych Wrocław dla firm, które chcą rosnąć. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Projektowanie stron internetowych Wrocław | OWOCNI,"Projektowanie stron internetowych Wrocław dla firm, które chcą rosnąć. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
group_default,21,poznan,,,"Porządne strony dla firm<br class=""br-desktop"">– <strong>nr 1 w Poznaniu.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Poznaniu</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Strony internetowe Poznań dla firm | OWOCNI,"Strony internetowe Poznań dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Strony internetowe Poznań dla firm | OWOCNI,"Strony internetowe Poznań dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
keyword,21,poznan,strony internetowe poznań,utm_term=strony%20internetowe%20poznan,"Porządne strony dla firm<br class=""br-desktop"">– <strong>nr 1 w Poznaniu.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Poznaniu</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Strony internetowe Poznań dla firm | OWOCNI,"Strony internetowe Poznań dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Strony internetowe Poznań dla firm | OWOCNI,"Strony internetowe Poznań dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
keyword,22,poznan,tworzenie stron internetowych poznań,utm_term=tworzenie%20stron%20internetowych%20poznan,"Tworzenie porządnych stron<br class=""br-desktop"">dla firm – <strong>nr 1 w Poznaniu.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Poznaniu</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Tworzenie stron internetowych Poznań | OWOCNI,"Tworzenie stron internetowych Poznań dla wymagających firm. 3500+ realizacji, prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Tworzenie stron internetowych Poznań | OWOCNI,"Tworzenie stron internetowych Poznań dla wymagających firm. 3500+ realizacji, prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
keyword,23,poznan,projektowanie stron internetowych poznań,utm_term=projektowanie%20stron%20internetowych%20poznan,"Projektowanie porządnych stron<br class=""br-desktop"">dla firm – <strong>nr 1 w Poznaniu.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Poznaniu</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Projektowanie stron internetowych Poznań | OWOCNI,"Projektowanie stron internetowych Poznań dla firm, które chcą rosnąć. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Projektowanie stron internetowych Poznań | OWOCNI,"Projektowanie stron internetowych Poznań dla firm, które chcą rosnąć. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
group_default,24,katowice,,,"Porządne strony dla firm<br class=""br-desktop"">– <strong>nr 1 w Katowicach.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Katowicach</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Strony internetowe Katowice dla firm | OWOCNI,"Strony internetowe Katowice dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Strony internetowe Katowice dla firm | OWOCNI,"Strony internetowe Katowice dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
keyword,24,katowice,strony internetowe katowice,utm_term=strony%20internetowe%20katowice,"Porządne strony dla firm<br class=""br-desktop"">– <strong>nr 1 w Katowicach.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Katowicach</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Strony internetowe Katowice dla firm | OWOCNI,"Strony internetowe Katowice dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Strony internetowe Katowice dla firm | OWOCNI,"Strony internetowe Katowice dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
keyword,25,katowice,tworzenie stron internetowych katowice,utm_term=tworzenie%20stron%20internetowych%20katowice,"Tworzenie porządnych stron<br class=""br-desktop"">dla firm – <strong>nr 1 w Katowicach.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Katowicach</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Tworzenie stron internetowych Katowice | OWOCNI,"Tworzenie stron internetowych Katowice dla wymagających firm. 3500+ realizacji, prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Tworzenie stron internetowych Katowice | OWOCNI,"Tworzenie stron internetowych Katowice dla wymagających firm. 3500+ realizacji, prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
keyword,26,katowice,projektowanie stron internetowych katowice,utm_term=projektowanie%20stron%20internetowych%20katowice,"Projektowanie porządnych stron<br class=""br-desktop"">dla firm – <strong>nr 1 w Katowicach.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Katowicach</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Projektowanie stron internetowych Katowice | OWOCNI,"Projektowanie stron internetowych Katowice dla firm, które chcą rosnąć. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Projektowanie stron internetowych Katowice | OWOCNI,"Projektowanie stron internetowych Katowice dla firm, które chcą rosnąć. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
group_default,27,gdansk,,,"Porządne strony dla firm<br class=""br-desktop"">– <strong>nr 1 w Gdańsku.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Gdańsku</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Strony internetowe Gdańsk dla firm | OWOCNI,"Strony internetowe Gdańsk dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Strony internetowe Gdańsk dla firm | OWOCNI,"Strony internetowe Gdańsk dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
keyword,27,gdansk,strony internetowe gdańsk,utm_term=strony%20internetowe%20gdansk,"Porządne strony dla firm<br class=""br-desktop"">– <strong>nr 1 w Gdańsku.</strong>","Z porządną stroną zdobywasz tych klientów, na których najbardziej Ci zależy.<br class=""br-desktop""><strong>Jedyna w Gdańsku</strong> gwarancja wzrostu skuteczności <strong>albo pełny zwrot pieniędzy.</strong><br class=""br-desktop""><em>Pokaż klientom firmę, z której jesteś dumny.</em> <strong>Klikalny prototyp już w 14 dni.</strong>",Strony internetowe Gdańsk dla firm | OWOCNI,"Strony internetowe Gdańsk dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy.",Strony internetowe Gdańsk dla firm | OWOCNI,"Strony internetowe Gdańsk dla firm, które chcą pozyskiwać lepszych klientów. Prototyp w 14 dni i gwarancja skuteczności albo pełny zwrot pieniędzy."
